source_dataset,source_publication,reference_year,geography,product,metric,value,unit,evidence_type,source_url,notes
FAO/GIEWS Country Cereal Balance Sheet,Burundi country brief,2024,Burundi,Maize,production,590,000 tonnes,reported/estimated national evidence,https://www.fao.org/giews/countrybrief/country/BDI/pdf_archive/BDI_Archive.pdf,2024 value from FAO/GIEWS cereal production table; not market-level
FAO/GIEWS Country Cereal Balance Sheet,Burundi country brief,2024,Burundi,Rice (paddy),production,136,000 tonnes,reported/estimated national evidence,https://www.fao.org/giews/countrybrief/country/BDI/pdf_archive/BDI_Archive.pdf,2024 value from FAO/GIEWS cereal production table; not market-level
FAO/GIEWS Country Cereal Balance Sheet,Burundi country brief,2024,Burundi,Sorghum,production,30,000 tonnes,reported/estimated national evidence,https://www.fao.org/giews/countrybrief/country/BDI/pdf_archive/BDI_Archive.pdf,2024 value from FAO/GIEWS cereal production table; not market-level
FAO/GIEWS Country Cereal Balance Sheet,Burundi country brief,2024,Burundi,Others,production,19,000 tonnes,reported/estimated national evidence,https://www.fao.org/giews/countrybrief/country/BDI/pdf_archive/BDI_Archive.pdf,2024 value from FAO/GIEWS cereal production table; not market-level
FAO/GIEWS Country Cereal Balance Sheet,Burundi country brief,2024,Burundi,Total cereals,production,775,000 tonnes,reported/estimated national evidence,https://www.fao.org/giews/countrybrief/country/BDI/pdf_archive/BDI_Archive.pdf,2024 total from FAO/GIEWS cereal production table; not market-level
