scenario_bif_tkm,corridor_capacity_units,selected_flow_arcs,total_normalized_flow_units,total_normalized_margin_bif,mean_margin_bif_kg
500.0,3,353,353.0,446646.9613565001,1265.2888423696886
750.0,3,349,349.0,441617.8326105001,1265.3806091991405
811.3311,3,349,349.0,440398.14205602114,1261.8857938567942
1000.0,3,345,345.0,436736.150657,1265.9018859623188
1250.0,3,345,345.0,432097.10983374994,1252.4553908224636
1500.0,3,345,345.0,427604.004439,1239.4318969246378
