spatial_tier,corridors,avg_score,avg_products,avg_scenarios_active,total_flow_units,total_margin_bif
A — stratégique,96,93.71732893550525,9.90625,5.572916666666667,735.0,860066.6774453607
B — prioritaire,534,73.02964029799325,9.926966292134832,0.34831460674157305,200.0,283463.09513707703
C — secondaire,1804,62.439032893708735,9.716740576496674,0.02328159645232816,45.0,57245.387162934974
D — surveillance,122,42.36113337734068,7.729508196721311,0.0,0.0,0.0
