scenario,estimate_distance_multiplier,n,slope_bif_per_km,intercept_bif,r_squared
BASE,1.00,43,77.736157,1667.027551,0.898420
ESTIMATES_MINUS_10PCT,0.90,43,78.744958,1684.423996,0.894692
ESTIMATES_PLUS_10PCT,1.10,43,75.859680,1743.479957,0.891557
ESTIMATES_MINUS_20PCT,0.80,43,78.765685,1803.692641,0.879536
ESTIMATES_PLUS_20PCT,1.20,43,73.279837,1900.356057,0.875556
OBSERVED_ONLY,1.00,38,77.903301,1671.325341,0.895037
