corridor_key,scenarios_profitable,min_stress_margin,avg_stress_margin,max_stress_score,mean_stress_score,spatial_priority_score,spatial_tier,active_products,flow_persistence_score,stress_class
Gitega Centre — Kayero,7,234.3708638957786,281.6889962410479,44.953688570762125,44.95368857076213,44.953688570762125,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Kayogoro,7,72.61604775949674,104.2681024683557,51.43759476905285,51.43759476905285,51.43759476905285,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Kayongozi,0,-55.97693036880832,-49.24581501520354,22.161786428426105,22.161786428426105,22.161786428426105,D — surveillance,0.0,0.0,Not robust
Gitega Centre — Kigamba,4,-20.97887495767569,1.2241710181390049,32.84870452505587,32.84870452505587,32.84870452505587,D — surveillance,0.0,0.0,Moderate
Gitega Centre — Kinama,7,63.80103675599953,89.4155577525712,43.53915084631966,43.53915084631966,43.53915084631966,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Kinyinya,7,523.9975414983999,614.0614112135999,53.78454637779908,53.78454637779908,53.78454637779908,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Kirehe,7,204.92575542426647,254.01740918182844,52.48026102562729,52.48026102562729,52.48026102562729,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Kirundo,7,93.06189350418576,133.99455235893683,59.32453237250281,59.32453237250281,59.32453237250281,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Kivyuka,7,507.32448953559407,605.9425098009689,61.056231044155076,61.056231044155076,61.056231044155076,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Kobero,7,114.07728287311906,157.77649094562238,51.45804665305849,51.45804665305849,51.45804665305849,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Mabanda,7,151.38032203066382,201.59469087028447,51.63453849113357,51.63453849113357,51.63453849113357,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Mabayi,7,615.9146632697148,743.5982168298777,60.33728188865605,60.33728188865605,60.33728188865605,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Makamba,7,16.543184592551242,43.52038396823629,42.358200320643164,42.358200320643164,42.358200320643164,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Marangara,7,22.1697658922604,50.02846423954012,42.47347706181064,42.47347706181064,42.47347706181064,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Masanganzira,7,17.174213133435686,40.049438771472424,50.5828318489505,50.5828318489505,50.5828318489505,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Matana,7,221.9875121433249,267.1557563471392,52.970788806696646,52.970788806696646,52.970788806696646,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Mihigo,6,-1.8355270179868768,17.753298706576928,41.9359370704673,41.9359370704673,41.9359370704673,D — surveillance,0.0,0.0,Robust
Gitega Centre — Mishiha,6,-5.374237563820287,24.537793901219803,49.633030187726014,49.633030187726014,49.633030187726014,D — surveillance,0.0,0.0,Robust
Gitega Centre — Muhanga,7,15.057955048120114,30.681370734908562,34.63792933602122,34.63792933602122,34.63792933602122,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Mukenke,7,175.62673669687786,229.9554180129476,51.72990028239347,51.72990028239347,51.72990028239347,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Muramvya,7,143.23917011015172,175.81465433292212,60.64899276784537,60.64899276784537,60.64899276784537,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Musenyi,7,424.5553700068008,509.1683602886288,61.01366006314798,61.01366006314798,61.01366006314798,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Mutaho,7,80.09157102023858,101.1251224372451,60.21268688486339,60.21268688486339,60.21268688486339,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Muyange,7,367.35076010599136,451.5115194739962,60.34365971256158,60.34365971256158,60.34365971256158,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Muyinga,7,156.60102534991086,200.79939057853315,52.08830444508273,52.08830444508273,52.08830444508273,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Muzinda,7,337.47436042461703,407.0748758962645,60.9428114166269,60.9428114166269,60.9428114166269,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Mwakiro,7,297.05048716005007,354.40917135430715,45.13538251474701,45.13538251474701,45.13538251474701,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Mwaro,7,255.68188018910365,299.6491455096158,65.72835919073796,65.72835919073796,65.72835919073796,C — secondaire,1.0,16.666666666666668,Very robust
Gitega Centre — Ngozi,7,72.54490456859357,100.2527648151115,51.6526226812681,51.6526226812681,51.6526226812681,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Nyabihanga,7,217.1738936389213,252.29157784525196,78.54603644212011,78.54603644212011,78.54603644212011,B — prioritaire,1.0,100.0,Very robust
Gitega Centre — Nyabikere,7,180.17799345512384,213.74044119505302,61.155342749455805,61.155342749455805,61.155342749455805,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Nyagasasa,7,311.2557402830945,368.00696640704047,69.79301265878928,69.79301265878928,69.79301265878928,C — secondaire,2.0,33.333333333333336,Very robust
Gitega Centre — Rubaho,7,76.01780253961574,104.04965280269236,35.60229190782253,35.60229190782253,35.60229190782253,D — surveillance,0.0,0.0,Very robust
Gitega Centre — Rugombo,7,333.4795729355119,418.95557754379087,59.83462329674383,59.83462329674383,59.83462329674383,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Ruhehe,7,68.83066273863469,111.05561117370063,50.77382243335748,50.77382243335747,50.77382243335748,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Rumonge,7,307.2770735384332,376.9776649450428,60.55224050887993,60.55224050887993,60.55224050887993,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Rusaka,7,324.1212297338984,381.377690457385,61.5919775893856,61.5919775893856,61.5919775893856,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Rutana,7,142.64620460170826,178.05239740073208,52.41692821827533,52.41692821827534,52.41692821827533,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Ruyigi,7,514.2062648716042,598.2398749449732,62.12814891863829,62.12814891863828,62.12814891863829,C — secondaire,0.0,0.0,Very robust
