corridor_key,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct
Kayongozi — Kirehe,6,100.0,7.0,1.1666666666666667,24068.225482246904,4011.370913707817,66.66666666666666,38.888888888888886,100.0,1.0,1.0,4023.610694500001,33.33333333333333,1.0,1.0,4006.431041750001,33.33333333333333,1.0,1.0,4002.216453746899,33.33333333333333,1.0,1.0,3989.251389000001,33.33333333333333,1.0,1.0,3972.071736250001,33.33333333333333,2.0,2.0,4074.644167000001,66.66666666666666
Bukirasazi — Matana,6,100.0,15.0,2.5,22090.993409124192,3681.832234854032,100.0,83.33333333333333,100.0,3.0,3.0,3933.2166735,100.0,3.0,3.0,3900.86501025,100.0,3.0,3.0,3892.928357874192,100.0,2.0,2.0,3476.228898,66.66666666666666,2.0,2.0,3454.6611225,66.66666666666666,2.0,2.0,3433.093347,66.66666666666666
Nyabihanga — Rwibaga,6,100.0,10.0,1.6666666666666667,16495.566873414755,2749.261145569126,66.66666666666666,55.55555555555554,100.0,1.0,1.0,2463.9822195,33.33333333333333,2.0,2.0,2924.5466585,66.66666666666666,1.0,1.0,2451.704702914753,33.33333333333333,2.0,2.0,2904.8288780000003,66.66666666666666,2.0,2.0,2885.1110975,66.66666666666666,2.0,2.0,2865.393317,66.66666666666666
Bukeye — Nyabikere,6,100.0,6.0,1.0,14429.051433758443,2404.841905626407,33.33333333333333,33.33333333333333,100.0,1.0,1.0,2437.4372145,33.33333333333333,1.0,1.0,2420.04582175,33.33333333333333,1.0,1.0,2415.779288758442,33.33333333333333,1.0,1.0,2402.654429,33.33333333333333,1.0,1.0,2385.26303625,33.33333333333333,1.0,1.0,2367.8716435,33.33333333333333
Mishiha — Twinkwavu,6,100.0,18.0,3.0,13991.317255409487,2331.8862092349145,100.0,100.0,100.0,3.0,3.0,2919.619667,100.0,3.0,3.0,2087.8495005,100.0,3.0,3.0,2885.360585409487,100.0,3.0,3.0,2060.339334,100.0,3.0,3.0,2032.8291675,100.0,3.0,3.0,2005.319001,100.0
Biyorwa — Ruyigi,6,100.0,10.0,1.6666666666666667,13990.404985433583,2331.7341642389306,100.0,55.55555555555555,100.0,1.0,1.0,2015.025765,33.33333333333333,1.0,1.0,2009.3436475,33.33333333333333,1.0,1.0,2007.949685433583,33.33333333333333,2.0,2.0,2261.49306,66.66666666666666,3.0,3.0,3457.8282375,100.0,2.0,2.0,2238.76459,66.66666666666666
Biyorwa — Gatabo,6,100.0,6.0,1.0,13886.264596481276,2314.3774327468795,33.33333333333333,33.33333333333333,100.0,1.0,1.0,2343.7046395,33.33333333333333,1.0,1.0,2328.05695925,33.33333333333333,1.0,1.0,2324.218201481277,33.33333333333333,1.0,1.0,2312.409279,33.33333333333333,1.0,1.0,2296.76159875,33.33333333333333,1.0,1.0,2281.1139185,33.33333333333333
Kayogoro — Makamba,6,100.0,6.0,1.0,12377.139792641645,2062.8566321069407,33.33333333333333,33.33333333333333,100.0,1.0,1.0,2072.760975,33.33333333333333,1.0,1.0,2067.4764625,33.33333333333333,1.0,1.0,2066.180042641645,33.33333333333333,1.0,1.0,2062.19195,33.33333333333333,1.0,1.0,2056.9074375,33.33333333333333,1.0,1.0,2051.622925,33.33333333333333
Gihamagara — Kinyinya,6,100.0,6.0,1.0,11724.74434402992,1954.12405733832,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1976.3173315,33.33333333333333,1.0,1.0,1964.47599725,33.33333333333333,1.0,1.0,1961.57102902992,33.33333333333333,1.0,1.0,1952.634663,33.33333333333333,1.0,1.0,1940.79332875,33.33333333333333,1.0,1.0,1928.9519945,33.33333333333333
Marangara — Mihigo,6,100.0,6.0,1.0,11585.761709726074,1930.9602849543455,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1951.757297,33.33333333333333,1.0,1.0,1940.6609455,33.33333333333333,1.0,1.0,1937.9387397260728,33.33333333333333,1.0,1.0,1929.564594,33.33333333333333,1.0,1.0,1918.4682425,33.33333333333333,1.0,1.0,1907.371891,33.33333333333333
